,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-06,2,"  42,438 ",2,:46,"  45,700 ",:29,,,296,:09,,,11-Nov-06,2,"  23,612 ","  3,923 ",2,:46,"  24,122 ",:22,"  4,032 ",:18,,11-Nov-06,2,"  28,440 ","  10,501 ",2,:46,"  29,491 ",:53,"  11,304 ",:48
12-Nov-06,2,"  42,440 ",2,:41,"  45,703 ",:10,,,296,:09,,,12-Nov-06,2,"  23,614 ","  3,925 ",2,:41,"  24,125 ",:03,"  4,034 ",:59,,12-Nov-06,2,"  28,442 ","  10,503 ",2,:41,"  29,494 ",:34,"  11,307 ",:29
14-Nov-06,3,"  42,443 ",4,:10,"  45,707 ",:20,,,296,:09,,,14-Nov-06,3,"  23,617 ","  3,928 ",4,:10,"  24,129 ",:13,"  4,039 ",:09,,14-Nov-06,3,"  28,445 ","  10,506 ",4,:10,"  29,498 ",:44,"  11,311 ",:39
15-Nov-06,5,"  42,448 ",6,:16,"  45,713 ",:36,,,296,:09,,,15-Nov-06,5,"  23,622 ","  3,933 ",6,:16,"  24,135 ",:29,"  4,045 ",:25,,15-Nov-06,5,"  28,450 ","  10,511 ",6,:16,"  29,505 ",:00,"  11,317 ",:55
16-Nov-06,4,"  42,452 ",5,:22,"  45,718 ",:58,,,296,:09,,,16-Nov-06,4,"  23,626 ","  3,937 ",5,:22,"  24,140 ",:51,"  4,050 ",:47,,16-Nov-06,4,"  28,454 ","  10,515 ",5,:22,"  29,510 ",:22,"  11,323 ",:17
17-Nov-06,4,"  42,456 ",5,:11,"  45,724 ",:09,,,296,:09,,,17-Nov-06,4,"  23,630 ","  3,941 ",5,:11,"  24,146 ",:02,"  4,055 ",:58,,17-Nov-06,4,"  28,458 ","  10,519 ",5,:11,"  29,515 ",:33,"  11,328 ",:28
18-Nov-06,2,"  42,400 ",2,:53,"  45,649 ",:00,,,240,:03,,,18-Nov-06,2,"  23,574 ","  3,885 ",2,:53,"  24,070 ",:53,"  3,980 ",:49,,18-Nov-06,2,"  28,402 ","  10,463 ",2,:53,"  29,440 ",:24,"  11,253 ",:19
19-Nov-06,2,"  42,402 ",2,:32,"  45,651 ",:32,,,240,:03,,,19-Nov-06,2,"  23,576 ","  3,887 ",2,:32,"  24,073 ",:25,"  3,983 ",:21,,19-Nov-06,2,"  28,404 ","  10,465 ",2,:32,"  29,442 ",:56,"  11,255 ",:51
21-Nov-06,3,"  42,405 ",4,:15,"  45,655 ",:47,,,240,:03,,,21-Nov-06,3,"  23,579 ","  3,890 ",4,:15,"  24,077 ",:40,"  3,987 ",:36,,21-Nov-06,3,"  28,407 ","  10,468 ",4,:15,"  29,447 ",:11,"  11,260 ",:06
22-Nov-06,3,"  42,408 ",4,:09,"  45,659 ",:56,,,240,:03,,,22-Nov-06,3,"  23,582 ","  3,893 ",4,:09,"  24,081 ",:49,"  3,991 ",:45,,22-Nov-06,3,"  28,410 ","  10,471 ",4,:09,"  29,451 ",:20,"  11,264 ",:15
23-Nov-06,2,"  42,410 ",2,:34,"  45,662 ",:30,,,240,:03,,,23-Nov-06,2,"  23,584 ","  3,895 ",2,:34,"  24,084 ",:23,"  3,994 ",:19,,23-Nov-06,2,"  28,412 ","  10,473 ",2,:34,"  29,453 ",:54,"  11,266 ",:49
24-Nov-06,4,"  42,414 ",5,:17,"  45,667 ",:47,,,240,:03,,,24-Nov-06,4,"  23,588 ","  3,899 ",5,:17,"  24,089 ",:40,"  3,999 ",:36,,24-Nov-06,4,"  28,416 ","  10,477 ",5,:17,"  29,459 ",:11,"  11,272 ",:06
25-Nov-06,2,"  42,416 ",2,:40,"  45,670 ",:27,,,240,:03,,,25-Nov-06,2,"  23,590 ","  3,901 ",2,:40,"  24,092 ",:20,"  4,002 ",:16,,25-Nov-06,2,"  28,418 ","  10,479 ",2,:40,"  29,461 ",:51,"  11,274 ",:46
26-Nov-06,2,"  42,418 ",2,:31,"  45,672 ",:58,,,240,:03,,,26-Nov-06,2,"  23,592 ","  3,903 ",2,:31,"  24,094 ",:51,"  4,004 ",:47,,26-Nov-06,2,"  28,420 ","  10,481 ",2,:31,"  29,464 ",:22,"  11,277 ",:17
28-Nov-06,4,"  42,430 ",5,:20,"  45,689 ",:51,,,283,:53,,,28-Nov-06,4,"  23,604 ","  3,915 ",5,:20,"  24,111 ",:44,"  4,021 ",:40,,28-Nov-06,4,"  28,432 ","  10,493 ",5,:20,"  29,481 ",:15,"  11,294 ",:10
29-Nov-06,4,"  42,434 ",5,:15,"  45,695 ",:06,,,283,:53,,,29-Nov-06,4,"  23,608 ","  3,919 ",5,:15,"  24,116 ",:59,"  4,026 ",:55,,29-Nov-06,4,"  28,436 ","  10,497 ",5,:15,"  29,486 ",:30,"  11,299 ",:25
30-Nov-06,4,"  42,438 ",5,:15,"  45,700 ",:21,,,283,:53,,,30-Nov-06,4,"  23,612 ","  3,923 ",5,:15,"  24,122 ",:14,"  4,032 ",:10,,30-Nov-06,4,"  28,440 ","  10,501 ",5,:15,"  29,491 ",:45,"  11,304 ",:40
01-Dec-06,4,"  42,442 ",5,:51,"  45,706 ",:12,,,283,:53,,,01-Dec-06,4,"  23,616 ","  3,927 ",5,:51,"  24,128 ",:05,"  4,038 ",:01,,01-Dec-06,4,"  28,444 ","  10,505 ",5,:51,"  29,497 ",:36,"  11,310 ",:31
02-Dec-06,2,"  42,444 ",2,:43,"  45,708 ",:55,,,283,:53,,,02-Dec-06,2,"  23,618 ","  3,929 ",2,:43,"  24,130 ",:48,"  4,040 ",:44,,02-Dec-06,2,"  28,446 ","  10,507 ",2,:43,"  29,500 ",:19,"  11,313 ",:14
03-Dec-06,2,"  42,446 ",2,:40,"  45,711 ",:35,,,283,:53,,,03-Dec-06,2,"  23,620 ","  3,931 ",2,:40,"  24,133 ",:28,"  4,043 ",:24,,03-Dec-06,2,"  28,448 ","  10,509 ",2,:40,"  29,502 ",:59,"  11,315 ",:54
05-Dec-06,6,"  42,452 ",8,:15,"  45,719 ",:50,,,283,:53,,,05-Dec-06,6,"  23,626 ","  3,937 ",8,:15,"  24,141 ",:43,"  4,051 ",:39,,05-Dec-06,6,"  28,454 ","  10,515 ",8,:15,"  29,511 ",:14,"  11,324 ",:09
06-Dec-06,2,"  42,454 ",2,:37,"  45,722 ",:27,,,283,:53,,,06-Dec-06,2,"  23,628 ","  3,939 ",2,:37,"  24,144 ",:20,"  4,054 ",:16,,06-Dec-06,2,"  28,456 ","  10,517 ",2,:37,"  29,513 ",:51,"  11,326 ",:46
07-Dec-06,4,"  42,460 ",5,:18,"  45,729 ",:27,,,296,:09,,,07-Dec-06,4,"  23,634 ","  3,945 ",5,:18,"  24,151 ",:20,"  4,061 ",:16,,07-Dec-06,4,"  28,462 ","  10,523 ",5,:18,"  29,520 ",:51,"  11,333 ",:46
08-Dec-06,4,"  42,464 ",5,:11,"  45,734 ",:38,,,296,:09,,,08-Dec-06,4,"  23,638 ","  3,949 ",5,:11,"  24,156 ",:31,"  4,066 ",:27,,08-Dec-06,4,"  28,466 ","  10,527 ",5,:11,"  29,526 ",:02,"  11,338 ",:57
09-Dec-06,2,"  42,466 ",2,:46,"  45,737 ",:24,,,296,:09,,,09-Dec-06,2,"  23,640 ","  3,951 ",2,:46,"  24,159 ",:17,"  4,069 ",:13,,09-Dec-06,2,"  28,468 ","  10,529 ",2,:46,"  29,528 ",:48,"  11,341 ",:43
10-Dec-06,2,"  42,468 ",2,:36,"  45,740 ",:00,,,296,:09,,,10-Dec-06,2,"  23,642 ","  3,953 ",2,:36,"  24,161 ",:53,"  4,071 ",:49,,10-Dec-06,2,"  28,470 ","  10,531 ",2,:36,"  29,531 ",:24,"  11,344 ",:19
12-Dec-06,4,"  42,472 ",5,:43,"  45,745 ",:43,,,296,:09,,,12-Dec-06,4,"  23,646 ","  3,957 ",5,:43,"  24,167 ",:36,"  4,077 ",:32,,12-Dec-06,4,"  28,474 ","  10,535 ",5,:43,"  29,537 ",:07,"  11,350 ",:02
13-Dec-06,3,"  42,475 ",4,:12,"  45,749 ",:55,,,296,:09,,,13-Dec-06,3,"  23,649 ","  3,960 ",4,:12,"  24,171 ",:48,"  4,081 ",:44,,13-Dec-06,3,"  28,477 ","  10,538 ",4,:12,"  29,541 ",:19,"  11,354 ",:14
14-Dec-06,4,"  42,479 ",5,:23,"  45,755 ",:18,,,296,:09,,,14-Dec-06,4,"  23,653 ","  3,964 ",5,:23,"  24,177 ",:11,"  4,087 ",:07,,14-Dec-06,4,"  28,481 ","  10,542 ",5,:23,"  29,546 ",:42,"  11,359 ",:37
15-Dec-06,5,"  42,484 ",6,:26,"  45,761 ",:44,,,296,:09,,,15-Dec-06,5,"  23,658 ","  3,969 ",6,:26,"  24,183 ",:37,"  4,093 ",:33,,15-Dec-06,5,"  28,486 ","  10,547 ",6,:26,"  29,553 ",:08,"  11,366 ",:03
16-Dec-06,2,"  42,486 ",2,:50,"  45,764 ",:34,,,240,:03,,,16-Dec-06,2,"  23,594 ","  3,905 ",2,:50,"  24,097 ",:41,"  4,007 ",:37,,16-Dec-06,2,"  28,422 ","  10,483 ",2,:50,"  29,467 ",:12,"  11,280 ",:07
17-Dec-06,5,"  42,491 ",7,:52,"  45,772 ",:26,,,240,:03,,,17-Dec-06,5,"  23,599 ","  3,910 ",7,:52,"  24,105 ",:33,"  4,015 ",:29,,17-Dec-06,5,"  28,427 ","  10,488 ",7,:52,"  29,475 ",:04,"  11,287 ",:59
18-Dec-06,1,"  42,492 ",3,:39,"  45,776 ",:05,,,240,:03,,,18-Dec-06,1,"  23,600 ","  3,911 ",3,:39,"  24,109 ",:12,"  4,019 ",:08,,18-Dec-06,1,"  28,428 ","  10,489 ",3,:39,"  29,478 ",:43,"  11,291 ",:38
19-Dec-06,5,"  42,497 ",6,:45,"  45,782 ",:50,,,240,:03,,,19-Dec-06,5,"  23,605 ","  3,916 ",6,:45,"  24,115 ",:57,"  4,025 ",:53,,19-Dec-06,5,"  28,433 ","  10,494 ",6,:45,"  29,485 ",:28,"  11,298 ",:23
20-Dec-06,4,"  42,501 ",5,:29,"  45,788 ",:19,,,240,:03,,,20-Dec-06,4,"  23,609 ","  3,920 ",5,:29,"  24,121 ",:26,"  4,031 ",:22,,20-Dec-06,4,"  28,437 ","  10,498 ",5,:29,"  29,490 ",:57,"  11,303 ",:52
21 Dec.06,4,"  42,505 ",5,:35,"  45,793 ",:54,,,240,:03,,,21 Dec.06,4,"  23,613 ","  3,924 ",5,:35,"  24,127 ",:01,"  4,036 ",:57,,21 Dec.06,4,"  28,441 ","  10,502 ",5,:35,"  29,496 ",:32,"  11,309 ",:27
22 Dec.06,4,"  42,509 ",5,:21,"  45,799 ",:15,,,240,:03,,,22 Dec.06,4,"  23,617 ","  3,928 ",5,:21,"  24,132 ",:22,"  4,042 ",:18,,22 Dec.06,4,"  28,445 ","  10,506 ",5,:21,"  29,501 ",:53,"  11,314 ",:48
23-Dec-06,2,"  42,511 ",2,:54,"  45,802 ",:09,,,240,:03,,,23-Dec-06,2,"  23,619 ","  3,930 ",2,:54,"  24,135 ",:16,"  4,045 ",:12,,23-Dec-06,2,"  28,447 ","  10,508 ",2,:54,"  29,504 ",:47,"  11,317 ",:42
24 Dec.06,2,"  42,513 ",2,:41,"  45,804 ",:50,,,283,:53,,,24 Dec.06,2,"  23,630 ","  3,941 ",2,:41,"  24,147 ",:01,"  4,056 ",:57,,24 Dec.06,2,"  28,458 ","  10,519 ",2,:41,"  29,516 ",:32,"  11,329 ",:27
26 Dec.06,4,"  42,517 ",5,:28,"  45,810 ",:18,,,283,:53,,,26 Dec.06,4,"  23,634 ","  3,945 ",5,:28,"  24,152 ",:29,"  4,062 ",:25,,26 Dec.06,4,"  28,462 ","  10,523 ",5,:28,"  29,522 ",:00,"  11,334 ",:55
27 Dec.06,4,"  42,521 ",5,:23,"  45,815 ",:41,,,283,:53,,,27 Dec.06,4,"  23,638 ","  3,949 ",5,:23,"  24,157 ",:52,"  4,067 ",:48,,27 Dec.06,4,"  28,466 ","  10,527 ",5,:23,"  29,527 ",:23,"  11,340 ",:18
28 Dec.06,4,"  42,525 ",5,:31,"  45,821 ",:12,,,283,:53,,,28 Dec.06,4,"  23,642 ","  3,953 ",5,:31,"  24,163 ",:23,"  4,073 ",:19,,28 Dec.06,4,"  28,470 ","  10,531 ",5,:31,"  29,532 ",:54,"  11,345 ",:49
29 Dec.06,4,"  42,529 ",5,:40,"  45,826 ",:52,,,283,:53,,,29 Dec.06,4,"  23,646 ","  3,957 ",5,:40,"  24,169 ",:03,"  4,078 ",:59,,29 Dec.06,4,"  28,474 ","  10,535 ",5,:40,"  29,538 ",:34,"  11,351 ",:29
30 Dec.06 ,2,"  42,531 ",2,:56,"  45,829 ",:48,,,283,:53,,,30 Dec.06 ,2,"  23,648 ","  3,959 ",2,:56,"  24,171 ",:59,"  4,081 ",:55,,30 Dec.06 ,2,"  28,476 ","  10,537 ",2,:56,"  29,541 ",:30,"  11,354 ",:25
31 Dec.06,2,"  42,533 ",2,:25,"  45,832 ",:13,,,283,:53,,,31 Dec.06,2,"  23,650 ","  3,961 ",2,:25,"  24,174 ",:24,"  4,084 ",:20,,31 Dec.06,2,"  28,478 ","  10,539 ",2,:25,"  29,543 ",:55,"  11,356 ",:50
03 Jan.07,4,"  42,537 ",5,:26,"  45,837 ",:39,,,283,:53,,,03 Jan.07,4,"  23,654 ","  3,965 ",5,:26,"  24,179 ",:50,"  4,089 ",:46,,03 Jan.07,4,"  28,482 ","  10,543 ",5,:26,"  29,549 ",:21,"  11,362 ",:16
04 Jan.07,4,"  42,541 ",5,:27,"  45,843 ",:06,,,296,:09,,,04 Jan.07,4,"  23,662 ","  3,973 ",5,:27,"  24,189 ",:04,"  4,099 ",:00,,04 Jan.07,4,"  28,490 ","  10,551 ",5,:27,"  29,558 ",:35,"  11,371 ",:30
05 Jan.07,4,"  42,545 ",5,:22,"  45,848 ",:28,,,296,:09,,,05 Jan.07,4,"  23,666 ","  3,977 ",5,:22,"  24,194 ",:26,"  4,104 ",:22,,05 Jan.07,4,"  28,494 ","  10,555 ",5,:22,"  29,563 ",:57,"  11,376 ",:52
"06 Jan,07",2,"  42,547 ",2,:50,"  45,851 ",:18,,,296,:09,,,"06 Jan,07",2,"  23,668 ","  3,979 ",2,:50,"  24,197 ",:16,"  4,107 ",:12,,"06 Jan,07",2,"  28,496 ","  10,557 ",2,:50,"  29,566 ",:47,"  11,379 ",:42
07 Jan.07,2,"  42,549 ",2,:48,"  45,854 ",:06,,,296,:09,,,07 Jan.07,2,"  23,670 ","  3,981 ",2,:48,"  24,200 ",:04,"  4,110 ",:00,,07 Jan.07,2,"  28,498 ","  10,559 ",2,:48,"  29,569 ",:35,"  11,382 ",:30
09 Jan.07,4,"  42,553 ",5,:22,"  45,859 ",:28,,,296,:09,,,09 Jan.07,4,"  23,674 ","  3,985 ",5,:22,"  24,205 ",:26,"  4,115 ",:22,,09 Jan.07,4,"  28,502 ","  10,563 ",5,:22,"  29,574 ",:57,"  11,387 ",:52
10 Jan.07,4,"  42,557 ",5,:16,"  45,864 ",:44,,,296,:09,,,10 Jan.07,4,"  23,678 ","  3,989 ",5,:16,"  24,210 ",:42,"  4,120 ",:38,,10 Jan.07,4,"  28,506 ","  10,567 ",5,:16,"  29,580 ",:13,"  11,393 ",:08
11 Jan.07,4,"  42,561 ",5,:21,"  45,870 ",:05,,,296,:09,,,11 Jan.07,4,"  23,682 ","  3,993 ",5,:21,"  24,216 ",:03,"  4,125 ",:59,,11 Jan.07,4,"  28,510 ","  10,571 ",5,:21,"  29,585 ",:34,"  11,398 ",:29
12 Jan.07,4,"  42,565 ",5,:19,"  45,875 ",:24,,,296,:09,,,12 Jan.07,4,"  23,686 ","  3,997 ",5,:19,"  24,221 ",:22,"  4,131 ",:18,,12 Jan.07,4,"  28,514 ","  10,575 ",5,:19,"  29,590 ",:53,"  11,403 ",:48
13 Jan.07,2,"  42,567 ",2,:52,"  45,878 ",:16,,,240,:03,,,13 Jan.07,2,"  23,621 ","  3,932 ",2,:52,"  24,138 ",:08,"  4,048 ",:04,,13 Jan.07,2,"  28,449 ","  10,510 ",2,:52,"  29,507 ",:39,"  11,320 ",:34
14 Jan.07,2,"  42,569 ",2,:45,"  45,881 ",:01,,,240,:03,,,14 Jan.07,2,"  23,623 ","  3,934 ",2,:45,"  24,140 ",:53,"  4,050 ",:49,,14 Jan.07,2,"  28,451 ","  10,512 ",2,:45,"  29,510 ",:24,"  11,323 ",:19
16 Jan.07,2,"  42,571 ",2,:04,"  45,883 ",:05,,,240,:03,,,16 Jan.07,2,"  23,625 ","  3,936 ",2,:04,"  24,142 ",:57,"  4,052 ",:53,,16 Jan.07,2,"  28,453 ","  10,514 ",2,:04,"  29,512 ",:28,"  11,325 ",:23
,,"  42,571 ",,,"  45,883 ",:05,,,240,:03,,,,,"  23,625 ","  3,936 ",,,"  24,142 ",:57,"  4,052 ",:53,,,,"  28,453 ","  10,514 ",,,"  29,512 ",:28,"  11,325 ",:23
,,"  42,571 ",,,"  45,883 ",:05,,,240,:03,,,,,"  23,625 ","  3,936 ",,,"  24,142 ",:57,"  4,052 ",:53,,,,"  28,453 ","  10,514 ",,,"  29,512 ",:28,"  11,325 ",:23
,,"  42,571 ",,,"  45,883 ",:05,,,240,:03,,,,,"  23,625 ","  3,936 ",,,"  24,142 ",:57,"  4,052 ",:53,,,,"  28,453 ","  10,514 ",,,"  29,512 ",:28,"  11,325 ",:23
,,"  42,571 ",,,"  45,883 ",:05,,,240,:03,,,,,"  23,625 ","  3,936 ",,,"  24,142 ",:57,"  4,052 ",:53,,,,"  28,453 ","  10,514 ",,,"  29,512 ",:28,"  11,325 ",:23
,,"  42,571 ",,,"  45,883 ",:05,,,240,:03,,,,,"  23,625 ","  3,936 ",,,"  24,142 ",:57,"  4,052 ",:53,,,,"  28,453 ","  10,514 ",,,"  29,512 ",:28,"  11,325 ",:23
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
,,"  42,456 ",,,"  45,724 ",:09,,,296,:09,,,,,"  23,630 ","  3,941 ",,,"  24,146 ",:02,"  4,055 ",:58,,,,"  28,458 ","  10,519 ",,,"  29,515 ",:33,"  11,328 ",:28
